player_id,display_name,team_name,combo,goals,assists,successful_dribbles
1030468,Ž. Popović,OFK Petrovac,A|D|G,5,4,37
856483,B. Sekulić,FK Mornar Bar,A|G,8,4,17
95583,S. Denković,FK Mornar Bar,D|G,5,1,66
1149289,B. Mrvaljević,Mladost DG,D|G,5,2,42
1000770,A. Ražnatović,FK Sutjeska Nikšić,G,5,2,18
76273,A. Kajević,FK Dečić Tuzi,G,5,1,15
791606,A. Bašić,OFK Petrovac,G,6,1,9
905970,Đ. Maksimović,FK Jezero,G,9,0,8
196634,O. Rolović,FK Jezero,G,5,1,2
808566,A. Bošnjak,FK Arsenal Tivat,A|D,4,3,63
1005616,L. Mijović,FK Budućnost Podgorica,A|D,4,3,43
958574,J. Dresaj,FK Dečić Tuzi,A,0,3,32
363780,S. Mandić,FK Arsenal Tivat,A,1,3,26
797928,A. Adžović,FK Jezero,A,1,6,22
138949,I. Poček,FK Bokelj Kotor,A,3,3,22
882142,D. Pešukić,OFK Petrovac,A,0,3,11
869335,I. Camaj,FK Dečić Tuzi,A,1,3,2
1391891,D. Kolić,FK Jedinstvo Bijelo Polje,D,1,0,61
1408188,P. Bogdanović,FK Jezero,D,3,2,48
1497156,L. Knezevic,Mladost DG,D,4,2,44
978475,S. Almeida,Mladost DG,D,2,0,42
959010,Z. Divanović,OFK Petrovac,D,1,0,39
1131064,B. Radusinović,FK Dečić Tuzi,D,4,2,37
962100,V. Cavor,FK Sutjeska Nikšić,D,3,1,37
1896811,M. Juković,FK Sutjeska Nikšić,D,2,1,36
